About,crwdns112978:0crwdne112978:0,
Accepted,crwdns152705:0crwdne152705:0,
Account,crwdns143690:0crwdne143690:0,
Action,crwdns113020:0crwdne113020:0,
Active,crwdns113056:0crwdne113056:0,
All,crwdns152749:0crwdne152749:0,
Amended From,crwdns143898:0crwdne143898:0,
Amount,crwdns152751:0crwdne152751:0,
Applicable For,crwdns143936:0crwdne143936:0,
Apps,crwdns152773:0crwdne152773:0,
Archived,crwdns143966:0crwdne143966:0,
Attachments,crwdns152805:0crwdne152805:0,
Beginner,crwdns144174:0crwdne144174:0,
Blue,crwdns144196:0crwdne144196:0,
Cancelled,crwdns114378:0crwdne114378:0,
Change,crwdns156184:0crwdne156184:0,
Closed,crwdns144388:0crwdne144388:0,
Color,crwdns152947:0crwdne152947:0,
Comments,crwdns152957:0crwdne152957:0,
Company,crwdns114910:0crwdne114910:0,
Completed,crwdns152965:0crwdne152965:0,
Component,crwdns144438:0crwdne144438:0,
Condition,crwdns152969:0crwdne152969:0,
Conditions,crwdns144444:0crwdne144444:0,
Connections,crwdns115028:0crwdne115028:0,
Contact Email,crwdns115050:0crwdne115050:0,
Country,crwdns115148:0crwdne115148:0,
Currency,crwdns153023:0crwdne153023:0,
Current,crwdns144528:0crwdne144528:0,
Cyan,crwdns144570:0crwdne144570:0,
Daily,crwdns115456:0crwdne115456:0,
Dashboard,crwdns115498:0crwdne115498:0,
Date,crwdns153033:0crwdne153033:0,
Department,crwdns144684:0crwdne144684:0,
Description,crwdns153085:0crwdne153085:0,
Designation,crwdns144694:0crwdne144694:0,
Details,crwdns153089:0crwdne153089:0,
Disable,crwdns153093:0crwdne153093:0,
Disabled,crwdns156296:0crwdne156296:0,
Documentation,crwdns156304:0crwdne156304:0,
Download Template,crwdns144808:0crwdne144808:0,
Draft,crwdns116322:0crwdne116322:0,
Email,crwdns153167:0crwdne153167:0,
Email Address,crwdns116518:0crwdne116518:0,
Email ID,crwdns144864:0crwdne144864:0,
Email Template,crwdns116600:0crwdne116600:0,
Enabled,crwdns153185:0crwdne153185:0,
End Date,crwdns153187:0crwdne153187:0,
End Time,crwdns153189:0crwdne153189:0,
Error Message,crwdns144978:0crwdne144978:0,
Exchange Rate,crwdns156346:0crwdne156346:0,
Expired,crwdns153231:0crwdne153231:0,
Failed,crwdns153243:0crwdne153243:0,
Feedback,crwdns117096:0crwdne117096:0,
Field Name,crwdns145078:0crwdne145078:0,
Filter List,crwdns145114:0crwdne145114:0,
Filters,crwdns153261:0crwdne153261:0,
Frappe Support,crwdns117604:0crwdne117604:0,
Frequency,crwdns117608:0crwdne117608:0,
From Date,crwdns153287:0crwdne153287:0,
From User,crwdns153289:0crwdne153289:0,
Full Name,crwdns153293:0crwdne153293:0,
Geolocation,crwdns145258:0crwdne145258:0,
Goal,crwdns117786:0crwdne117786:0,
Green,crwdns145304:0crwdne145304:0,
Half Yearly,crwdns145332:0crwdne145332:0,
Help,crwdns156394:0crwdne156394:0,
Holiday List,crwdns153325:0crwdne153325:0,
Holidays,crwdns153329:0crwdne153329:0,
Import Log,crwdns145512:0crwdne145512:0,
In Progress,crwdns153341:0crwdne153341:0,
Inactive,crwdns118474:0crwdne118474:0,
Intermediate,crwdns145586:0crwdne145586:0,
Introduction,crwdns156412:0crwdne156412:0,
Invalid,crwdns145598:0crwdne145598:0,
Is Active,crwdns145606:0crwdne145606:0,
Is Default,crwdns153381:0crwdne153381:0,
Is Group,crwdns153385:0crwdne153385:0,
Job Title,crwdns153393:0crwdne153393:0,
Keyboard Shortcuts,crwdns118988:0crwdne118988:0,
Last Name,crwdns153413:0crwdne153413:0,
Left,crwdns153445:0crwdne153445:0,
Letter Head,crwdns119236:0crwdne119236:0,
Level,crwdns119252:0crwdne119252:0,
Location,crwdns145890:0crwdne145890:0,
Log out,crwdns119460:0crwdne119460:0,
Manual,crwdns153499:0crwdne153499:0,
Message,crwdns153507:0crwdne153507:0,
Month,crwdns156470:0crwdne156470:0,
Monthly,crwdns119968:0crwdne119968:0,
My Profile,crwdns120052:0crwdne120052:0,
My Settings,crwdns120054:0crwdne120054:0,
Name,crwdns153535:0crwdne153535:0,
Naming Series,crwdns153537:0crwdne153537:0,
New,crwdns153539:0crwdne153539:0,
No,crwdns153581:0crwdne153581:0,
Notes,crwdns153633:0crwdne153633:0,
Old Parent,crwdns153649:0crwdne153649:0,
On Hold,crwdns156504:0crwdne156504:0,
Open,crwdns156512:0crwdne156512:0,
Orange,crwdns146266:0crwdne146266:0,
Overview,crwdns120918:0crwdne120918:0,
Pending,crwdns153699:0crwdne153699:0,
Percent,crwdns146376:0crwdne146376:0,
Pink,crwdns146404:0crwdne146404:0,
Print Heading,crwdns121644:0crwdne121644:0,
Progress,crwdns121738:0crwdne121738:0,
Project,crwdns121740:0crwdne121740:0,
Property,crwdns121742:0crwdne121742:0,
Quarterly,crwdns121844:0crwdne121844:0,
Queued,crwdns153749:0crwdne153749:0,
Quick Filters,crwdns153753:0crwdne153753:0,
Rate,crwdns156558:0crwdne156558:0,
Rating,crwdns146566:0crwdne146566:0,
Read,crwdns153757:0crwdne153757:0,
Reason,crwdns156560:0crwdne156560:0,
Red,crwdns146606:0crwdne146606:0,
Reference,crwdns122090:0crwdne122090:0,
Reference Document,crwdns122122:0crwdne122122:0,
Reference Document Name,crwdns146632:0crwdne146632:0,
Reference Document Type,crwdns153769:0crwdne153769:0,
Referrer,crwdns122224:0crwdne122224:0,
Rejected,crwdns146648:0crwdne146648:0,
Reload,crwdns122270:0crwdne122270:0,
Reminder,crwdns122290:0crwdne122290:0,
Replied,crwdns146688:0crwdne146688:0,
Report an Issue,crwdns156562:0crwdne156562:0,
Result,crwdns122580:0crwdne122580:0,
Right,crwdns153821:0crwdne153821:0,
Role,crwdns153827:0crwdne153827:0,
Route,crwdns153829:0crwdne153829:0,
Rules,crwdns146806:0crwdne146806:0,
Scheduled,crwdns122950:0crwdne122950:0,
Sender,crwdns146978:0crwdne146978:0,
Sender Email,crwdns146980:0crwdne146980:0,
Sent,crwdns123366:0crwdne123366:0,
Series,crwdns153879:0crwdne153879:0,
Service,crwdns147006:0crwdne147006:0,
Session Defaults,crwdns123422:0crwdne123422:0,
Settings,crwdns153893:0crwdne153893:0,
Source,crwdns153913:0crwdne153913:0,
Source Name,crwdns153915:0crwdne153915:0,
Start Date,crwdns153921:0crwdne153921:0,
Start Time,crwdns153923:0crwdne153923:0,
Status,crwdns153925:0crwdne153925:0,
Subject,crwdns153933:0crwdne153933:0,
Submitted,crwdns124158:0crwdne124158:0,
System Manager,crwdns153943:0crwdne153943:0,
Task,crwdns153949:0crwdne153949:0,
Time,crwdns124730:0crwdne124730:0,
Title,crwdns153987:0crwdne153987:0,
To Date,crwdns153993:0crwdne153993:0,
To User,crwdns153995:0crwdne153995:0,
Toggle Full Width,crwdns124932:0crwdne124932:0,
Toggle Theme,crwdns124940:0crwdne124940:0,
Total,crwdns156660:0crwdne156660:0,
Totals,crwdns125006:0crwdne125006:0,
Type,crwdns154025:0crwdne154025:0,
User,crwdns154057:0crwdne154057:0,
Users,crwdns156690:0crwdne156690:0,
View Website,crwdns125722:0crwdne125722:0,
Weekly,crwdns125928:0crwdne125928:0,
Working Hours,crwdns154091:0crwdne154091:0,
Year,crwdns147822:0crwdne147822:0,
Yearly,crwdns126138:0crwdne126138:0,
Yellow,crwdns147824:0crwdne147824:0,
Yes,crwdns126158:0crwdne126158:0,
email,crwdns147952:0crwdne147952:0,
