 Unlink Payment on Cancellation of Employee Advance,Desvinculación de Pago en la cancelación del anticipo del empleado,
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Ejemplo:</b> SAL- {first_name} - {date_of_birth.year} <br> Esto generará una contraseña como SAL-Jane-1972,
Abbr,Abreviatura,
About,Acerca de,
Absent,Ausente,
Absent Days,Días ausentes,
Academics User,Usuario Académico,
Accepted,Aceptado,
Account,Cuenta,
Account Head,Encabezado de cuenta,
Accounting,Contabilidad,
Accounting & Payment,Contabilidad y Pagos,
Accounting Details,Detalles de Contabilidad,
Accounting Dimensions,Dimensiones contables,
Accounts,Cuentas,
Action,Acción,
Active,Activo,
Activities,Actividades,
Activity Name,Nombre de la Actividad,
Actual Amount,Cantidad real,
Actual Cost,Costo real,
Actual Encashable Days,Días reales cobrables,
Add unused leaves from previous allocations,Añadir permisos no usados de asignaciones anteriores,
Added On,Añadido el,
Additional Amount,Monto adicional,
Additional Information ,Información Adicional,
Additional Salary,Salario Adicional,
Additional Salary ,Salario adicional,
Address of Organizer,Dirección del Organizador,
Advance,Avanzar,
Advance Account,Cuenta anticipada,
Advance Amount,Importe Anticipado,
Advance Paid,Pago Anticipado,
Advance Payments,Pagos adelantados,
Advanced Filters,Filtros Avanzados,
Advances,Anticipos,
All,Todos,
Allocated Amount,Monto asignado,
Allocation,Asignación,
Allow Encashment,Permitir el Cobro,
Allow Negative Balance,Permitir Saldo Negativo,
Allow Tax Exemption,Permitir exención de impuestos,
Allow User,Permitir al usuario,
Allow Users,Permitir que los usuarios,
Allow check-out after shift end time (in minutes),Permitir la salida después de la hora de finalización del turno (en minutos),
Allow the following users to approve Leave Applications for block days.,Permitir a los usuarios siguientes aprobar solicitudes de ausencia en días bloqueados.,
Alternating entries as IN and OUT during the same shift,Alternar entradas como IN y OUT durante el mismo turno,
Amended From,Modificado Desde,
Amount,Importe,
Amount based on formula,Cantidad basada en fórmula,
Annual Allocation,Asignación Anual,
Any other details,Cualquier otro detalle,
Applicable For,Aplicable para,
Applicable in the case of Employee Onboarding,Aplicable en el caso de la incorporación de empleados,
Applicant Email Address,Dirección de correo electrónico del solicitante,
Applicant Name,Nombre del Solicitante,
Applicant for a Job,Solicitante de Empleo,
Applies to Company,Se aplica a la empresa,
Apply / Approve Leaves,Aplicar/Aprobar Licencias,
Appointment Date,Día de la cita,
Appointment Letter,Carta de cita,
Appointment Letter Template,Plantilla de carta de cita,
Appointment Letter content,Contenido de la carta de nombramiento,
Appraisal,Evaluación,
Appraisal Cycle,Ciclo de Evaluación,
Appraisal Goal,Meta de evaluación,
Appraisal Template,Plantilla de evaluación,
Appraisal Template Goal,Objetivo de la plantilla de evaluación,
Appraisal Template Title,Titulo de la plantilla de evaluación,
Approval,Aprobación,
Approval Status,Estado de Aprobación,
Approved,Aprobado,
Approver,Supervisor,
Apps,Apps,
Archived,Archivado,
Arrival Datetime,Fecha y hora de llegada,
Asset Name,Nombre de Activo,
Assignment based on,Asignación basada en,
Attachments,Adjuntos,
Attendance,Asistencia,
Attendance Date,Fecha de Asistencia,
