<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Exemple:</b> SAL- {prenom} - {date_naissance.année} <br> Cela générera un mot de passe comme SAL-Jane-1972,
"<h3>Help</h3>

<p>Notes:</p>

<ol>
<li>Use field <code>base</code> for using base salary of the Employee</li>
<li>Use Salary Component abbreviations in conditions and formulas. <code>BS = Basic Salary</code></li>
<li>Use field name for employee details in conditions and formulas. <code>Employment Type = employment_type</code><code>Branch = branch</code></li>
<li>Use field name from Salary Slip in conditions and formulas. <code>Payment Days = payment_days</code><code>Leave without pay = leave_without_pay</code></li>
<li>Direct Amount can also be entered based on Condition. See example 3</li></ol>

<h4>Examples</h4>
<ol>
<li>Calculating Basic Salary based on <code>base</code>
<pre><code>Condition: base &lt; 10000</code></pre>
<pre><code>Formula: base * .2</code></pre></li>
<li>Calculating HRA based on Basic Salary<code>BS</code> 
<pre><code>Condition: BS &gt; 2000</code></pre>
<pre><code>Formula: BS * .1</code></pre></li>
<li>Calculating TDS based on Employment Type<code>employment_type</code> 
<pre><code>Condition: employment_type==""Intern""</code></pre>
<pre><code>Amount: 1000</code></pre></li>
</ol>","<h3>Aide</h3>

<p>Notes :</p>

<ol>
<li>Utilisez le champ <code>base</code> pour utiliser le salaire de base de l'employé</li>
<li>Utilisez les abréviations des composantes salariales dans les conditions et les formules. <code>BS = Basic Salary</code></li>
<li>Utilisez le nom du champ pour les détails de l'employé dans les conditions et les formules. <code>Employment Type = employment_type</code><code>Branch = branch</code></li>
<li>Utilisez le nom du champ du bulletin de salaire dans les conditions et les formules. <code>Payment Days = payment_days</code><code>Leave without pay = leave_without_pay</code></li>
<li>Le montant direct peut également être saisi en fonction de la condition. Voir l'exemple 3</li></ol>

<h4>Exemples</h4>
<ol>
<li>Calcul du salaire de base basé sur <code>base</code>
<pre><code>Condition : base &lt; 10000</code></pre>
<pre><code>Formule : base * .2</code></pre></li>
<li>Calcul du HRA basé sur le salaire de base<code>BS</code> 
<pre><code>Condition : BS &gt; 2000</code></pre>
<pre><code>Formule : BS * .1</code></pre></li>
<li>Calcul du TDS basé sur le type d'emploi<code>employment_type</code> 
<pre><code>Condition : employment_type==""Intern""</code></pre>
<pre><code>Amount : 1000</code></pre></li>
</ol>",
"<h4>Condition Examples</h4>
<ol>
<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>
<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>","<h4>Exempleformat@@1
<ol>
<li>Appliquer une taxe si un employé né entre 31-12-1937 et 01-01-1958 (Employés âgés de 60 à 80 ans)<br>
<code>Condition : date_of_birth&gt;date(1937, 12, 31) et date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>",
Abbr,Abré,
About,A Propos,
Absent,Absent,
Absent Days,Jours d'absence,
Academics User,Utilisateur académique,
Accepted,Accepté.e,
Account,Compte,
